"filename", "language", "Markdown", "XML", "JavaScript", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "CSS", "comment", "blank", "total"
"d:\Bits\SEM\Project\community-cart\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Bits\SEM\Project\community-cart\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Bits\SEM\Project\community-cart\next.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 1, 2, 14
"d:\Bits\SEM\Project\community-cart\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 5969, 0, 0, 1, 5970
"d:\Bits\SEM\Project\community-cart\package.json", "JSON", 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 56
"d:\Bits\SEM\Project\community-cart\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Bits\SEM\Project\community-cart\public\icons\Appliances.svg", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Bits\SEM\Project\community-cart\public\icons\Beauty.svg", "XML", 0, 97, 0, 0, 0, 0, 0, 0, 1, 0, 98
"d:\Bits\SEM\Project\community-cart\public\icons\Books.svg", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Bits\SEM\Project\community-cart\public\icons\Fashion.svg", "XML", 0, 64, 0, 0, 0, 0, 0, 0, 1, 0, 65
"d:\Bits\SEM\Project\community-cart\public\icons\Furniture.svg", "XML", 0, 58, 0, 0, 0, 0, 0, 0, 1, 57, 116
"d:\Bits\SEM\Project\community-cart\public\icons\Groceries.svg", "XML", 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 71
"d:\Bits\SEM\Project\community-cart\public\icons\Home&Kitchen.svg", "XML", 0, 47, 0, 0, 0, 0, 0, 0, 1, 0, 48
"d:\Bits\SEM\Project\community-cart\public\icons\electronics.svg", "XML", 0, 36, 0, 0, 0, 0, 0, 0, 1, 0, 37
"d:\Bits\SEM\Project\community-cart\public\icons\mobileAndTablets.svg", "XML", 0, 55, 0, 0, 0, 0, 0, 0, 1, 54, 110
"d:\Bits\SEM\Project\community-cart\public\next.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Bits\SEM\Project\community-cart\public\vercel.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Bits\SEM\Project\community-cart\src\Services\Admin\category\index.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 0, 0, 20, 87
"d:\Bits\SEM\Project\community-cart\src\Services\Admin\order\index.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 41
"d:\Bits\SEM\Project\community-cart\src\Services\Admin\product\index.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 0, 0, 17, 111
"d:\Bits\SEM\Project\community-cart\src\Services\Admin\seller\index.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 1, 19, 109
"d:\Bits\SEM\Project\community-cart\src\Services\auth\customer\index.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"d:\Bits\SEM\Project\community-cart\src\Services\auth\index.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 16, 88
"d:\Bits\SEM\Project\community-cart\src\Services\common\bookmark\index.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 11, 54
"d:\Bits\SEM\Project\community-cart\src\Services\common\cart\index.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 4, 18, 95
"d:\Bits\SEM\Project\community-cart\src\Services\common\order\index.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 10, 54
"d:\Bits\SEM\Project\community-cart\src\Store\Provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\Bits\SEM\Project\community-cart\src\Store\store.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"d:\Bits\SEM\Project\community-cart\src\app\Dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 1, 7, 49
"d:\Bits\SEM\Project\community-cart\src\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 1, 13, 158
"d:\Bits\SEM\Project\community-cart\src\app\auth\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 419, 0, 0, 0, 14, 24, 457
"d:\Bits\SEM\Project\community-cart\src\app\auth\reset\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 0, 16, 151
"d:\Bits\SEM\Project\community-cart\src\app\bookmark\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 11, 72
